County,reform,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Frederick,All Children 100,-8.4%,-18.6%,-6.4%,-3.6%,-11.6%,0.0%,275124,62421,16185,10.04%,10.5%,12.72%,9.2%,8.55%,11.91%,2.94%,2.81%,2.46%,2.83%,2.48%,2.46%
Garrett,All Children 100,-11.1%,-28.3%,-54.4%,0.0%,0.0%,0.0%,27805,4981,1307,11.41%,11.29%,18.17%,10.14%,8.09%,8.29%,4.32%,4.44%,1.36%,4.32%,4.44%,1.36%
Harford,All Children 100,-2.2%,-3.9%,-7.7%,-10.8%,-10.4%,-19.4%,272165,59029,15126,8.74%,9.14%,17.96%,8.55%,8.78%,16.59%,3.96%,5.72%,11.97%,3.53%,5.12%,9.65%
Howard,All Children 100,-4.1%,-8.8%,-8.7%,0.0%,0.0%,0.0%,347480,83495,21180,7.72%,7.45%,5.59%,7.4%,6.79%,5.11%,2.39%,1.31%,1.79%,2.39%,1.31%,1.79%
Kent,All Children 100,-3.2%,-7.5%,0.0%,0.0%,0.0%,0.0%,20574,4075,928,8.34%,6.81%,4.1%,8.07%,6.3%,4.1%,1.9%,1.35%,0.41%,1.9%,1.35%,0.41%
Maryland,All Children 100,-9.8%,-20.7%,-20.1%,-7.4%,-19.1%,-23.7%,6319406,1390540,376011,12.54%,14.83%,15.85%,11.31%,11.75%,12.66%,4.1%,3.83%,3.55%,3.8%,3.1%,2.71%
Montgomery,All Children 100,-10.2%,-16.6%,-21.0%,-14.3%,-36.9%,-54.2%,1117479,253075,68066,13.91%,16.9%,21.84%,12.5%,14.09%,17.26%,3.97%,3.55%,3.34%,3.4%,2.24%,1.53%
Prince George's,All Children 100,-18.8%,-39.8%,-27.8%,-3.3%,-12.1%,-11.0%,939674,210461,62964,14.8%,20.11%,19.44%,12.01%,12.12%,14.05%,3.69%,2.7%,3.13%,3.57%,2.37%,2.79%
Queen Anne's,All Children 100,-3.2%,-7.5%,0.0%,0.0%,0.0%,0.0%,52268,10354,2357,8.34%,6.81%,4.1%,8.07%,6.3%,4.1%,1.9%,1.35%,0.41%,1.9%,1.35%,0.41%
Somerset,All Children 100,-6.1%,-18.6%,-23.7%,-10.0%,-26.9%,-45.6%,25729,5354,1343,12.39%,12.26%,9.85%,11.63%,9.97%,7.52%,6.86%,7.23%,4.76%,6.18%,5.29%,2.59%
St. Mary's,All Children 100,-2.3%,-2.9%,-5.4%,-7.5%,-9.8%,-45.5%,122944,28340,6183,8.5%,11.41%,9.66%,8.3%,11.09%,9.14%,4.45%,7.88%,7.81%,4.12%,7.1%,4.25%
Talbot,All Children 100,-3.2%,-7.5%,0.0%,0.0%,0.0%,0.0%,39141,7753,1765,8.34%,6.81%,4.1%,8.07%,6.3%,4.1%,1.9%,1.35%,0.41%,1.9%,1.35%,0.41%
Washington,All Children 100,-18.2%,-34.0%,-66.3%,0.0%,0.0%,0.0%,152311,33790,8912,9.38%,9.82%,6.53%,7.67%,6.49%,2.2%,3.2%,3.23%,1.57%,3.2%,3.23%,1.57%
Wicomico,All Children 100,-6.1%,-18.6%,-23.7%,-10.0%,-26.9%,-45.6%,102537,21337,5350,12.39%,12.26%,9.85%,11.63%,9.97%,7.52%,6.86%,7.23%,4.76%,6.18%,5.29%,2.59%
Worcester,All Children 100,-6.1%,-18.6%,-23.7%,-10.0%,-26.9%,-45.6%,51764,10771,2701,12.39%,12.26%,9.85%,11.63%,9.97%,7.52%,6.86%,7.23%,4.76%,6.18%,5.29%,2.59%
