District,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
28,-9.0%,-15.1%,0.0%,0.0%,0.0%,0.0%,"153,446","36,303","8,135",9.07%,11.21%,8.54%,8.25%,9.52%,8.54%,2.44%,1.52%,1.59%,2.44%,1.52%,1.59%
29,-2.3%,-2.9%,-5.4%,-7.5%,-9.8%,-45.5%,"145,299","33,493","7,307",8.5%,11.41%,9.66%,8.3%,11.09%,9.14%,4.45%,7.88%,7.81%,4.12%,7.1%,4.25%
30,-33.9%,-68.2%,-80.2%,-0.4%,-1.4%,nan%,"133,757","28,419","8,782",8.22%,13.78%,7.69%,5.44%,4.39%,1.52%,1.59%,1.02%,0.0%,1.58%,1.01%,0.0%
31,0.0%,0.0%,0.0%,-1.1%,-2.5%,0.0%,"145,271","32,620","9,982",7.46%,7.16%,3.72%,7.46%,7.16%,3.72%,2.72%,3.02%,2.14%,2.69%,2.94%,2.14%
32,-6.8%,-15.4%,-50.4%,-0.6%,-2.2%,0.0%,"156,225","34,893","9,382",5.89%,6.3%,5.28%,5.49%,5.33%,2.62%,1.93%,1.38%,1.1%,1.92%,1.35%,1.1%
33,-14.2%,-40.5%,-64.6%,-2.9%,-20.5%,0.0%,"145,629","33,012","8,479",4.85%,4.95%,4.16%,4.16%,2.95%,1.47%,1.4%,0.49%,0.19%,1.35%,0.39%,0.19%
34,-3.2%,-4.6%,-9.2%,-14.1%,-12.3%,-24.5%,"134,752","30,031","8,293",11.17%,13.73%,24.55%,10.81%,13.1%,22.28%,5.51%,8.56%,15.59%,4.73%,7.5%,11.77%
35,-3.7%,-12.8%,0.0%,0.0%,0.0%,0.0%,"138,773","29,335","7,225",8.21%,5.42%,6.98%,7.91%,4.72%,6.98%,3.38%,2.51%,3.1%,3.38%,2.51%,3.1%
36,-4.1%,-10.9%,0.0%,0.0%,0.0%,0.0%,"137,999","27,921","6,639",8.98%,7.04%,4.82%,8.62%,6.27%,4.82%,2.69%,1.83%,0.36%,2.69%,1.83%,0.36%
37,-4.6%,-13.5%,-15.0%,-6.9%,-20.9%,-40.8%,"131,848","26,621","6,303",9.89%,8.95%,6.5%,9.43%,7.74%,5.52%,3.8%,3.67%,2.22%,3.54%,2.9%,1.32%
38,-6.1%,-18.6%,-23.7%,-10.0%,-26.9%,-45.6%,"129,653","26,979","6,765",12.39%,12.26%,9.85%,11.63%,9.97%,7.52%,6.86%,7.23%,4.76%,6.18%,5.29%,2.59%
39,-5.6%,-7.5%,-10.5%,-8.2%,-31.2%,-39.6%,"125,783","28,605","8,019",9.63%,13.84%,10.89%,9.08%,12.8%,9.75%,2.98%,2.28%,5.98%,2.73%,1.57%,3.62%
40,-4.0%,-10.4%,-6.8%,-4.5%,-11.3%,-3.7%,"104,198","21,161","6,593",26.53%,34.72%,30.92%,25.47%,31.12%,28.82%,9.66%,11.02%,9.17%,9.23%,9.77%,8.83%
41,-3.4%,-10.0%,-5.1%,-2.3%,-5.9%,-2.0%,"112,002","23,321","7,424",25.03%,29.87%,25.54%,24.17%,26.88%,24.23%,9.22%,9.6%,8.56%,9.01%,9.03%,8.39%
42,0.0%,0.0%,0.0%,-7.0%,-17.5%,-4.9%,"131,511","27,893","7,397",10.92%,11.1%,9.44%,10.92%,11.1%,9.44%,5.78%,5.2%,6.05%,5.37%,4.29%,5.75%
43,-3.7%,-9.3%,-4.5%,-1.5%,-6.6%,0.0%,"111,884","21,848","6,911",19.91%,23.37%,23.21%,19.17%,21.21%,22.15%,7.0%,6.7%,7.81%,6.9%,6.26%,7.81%
44,-10.8%,-28.2%,-43.7%,-12.1%,-27.6%,-19.4%,"117,785","26,236","7,311",15.56%,18.57%,21.86%,13.87%,13.34%,12.3%,5.47%,4.03%,2.6%,4.81%,2.92%,2.1%
45,-2.6%,-5.0%,-3.1%,-8.8%,-29.6%,-12.0%,"117,772","24,270","7,359",21.45%,27.14%,18.86%,20.9%,25.79%,18.27%,7.89%,7.87%,3.6%,7.19%,5.54%,3.17%
46,-4.2%,-9.0%,-8.8%,-11.3%,-26.5%,-14.8%,"115,319","23,573","6,815",31.27%,47.18%,38.99%,29.95%,42.91%,35.57%,11.42%,14.79%,7.22%,10.14%,10.87%,6.15%
47,-15.4%,-29.4%,-27.2%,-5.4%,-12.1%,-13.4%,"131,028","35,276","12,632",21.43%,26.86%,23.8%,18.14%,18.97%,17.32%,5.76%,5.72%,6.35%,5.45%,5.03%,5.5%
