District,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
10,-5.7%,-4.8%,-17.3%,-14.3%,-30.5%,-100.0%,"130,560","29,765","8,255",15.18%,16.71%,16.48%,14.32%,15.91%,13.62%,3.46%,3.59%,1.35%,2.96%,2.5%,0.0%
11,-3.5%,-3.8%,-17.5%,-9.8%,-32.7%,-100.0%,"133,964","29,445","6,855",10.98%,10.98%,10.36%,10.6%,10.56%,8.54%,3.32%,2.32%,1.37%,3.0%,1.56%,0.0%
12,-7.0%,-21.4%,-57.8%,0.0%,0.0%,0.0%,"130,908","30,119","8,140",9.13%,9.12%,10.98%,8.49%,7.17%,4.64%,3.33%,1.13%,0.7%,3.33%,1.13%,0.7%
13,-1.6%,-3.5%,-13.0%,0.0%,0.0%,0.0%,"148,746","36,389","9,944",8.0%,7.1%,7.09%,7.87%,6.85%,6.17%,2.77%,1.24%,2.54%,2.77%,1.24%,2.54%
14,-3.9%,-7.1%,-9.0%,-4.7%,-23.8%,-44.7%,"141,946","34,745","8,938",11.1%,13.73%,21.21%,10.66%,12.76%,19.3%,3.1%,1.94%,2.41%,2.95%,1.48%,1.33%
15,-4.0%,-7.2%,-21.2%,-12.9%,-40.1%,-63.6%,"132,970","28,885","6,485",9.97%,11.83%,13.4%,9.57%,10.98%,10.56%,2.98%,2.5%,3.49%,2.6%,1.49%,1.27%
16,-6.8%,-13.4%,-49.7%,-2.7%,-5.5%,-43.0%,"135,524","28,924","6,520",8.85%,9.7%,11.52%,8.25%,8.4%,5.79%,3.17%,2.68%,1.39%,3.09%,2.53%,0.79%
17,-4.7%,-9.5%,-17.9%,-24.8%,-70.2%,-95.8%,"148,403","29,757","6,458",16.22%,17.74%,30.46%,15.45%,16.05%,25.02%,4.34%,4.28%,5.68%,3.27%,1.28%,0.24%
18,-6.0%,-11.9%,-23.0%,-8.8%,-15.9%,-59.7%,"141,526","33,390","10,140",17.74%,22.69%,27.84%,16.69%,19.99%,21.45%,4.81%,5.14%,2.75%,4.38%,4.32%,1.11%
19,-5.0%,-9.6%,-17.1%,-13.0%,-25.3%,-69.0%,"150,024","36,757","11,018",18.45%,23.88%,31.94%,17.53%,21.58%,26.47%,4.64%,4.89%,3.29%,4.04%,3.65%,1.02%
20,-7.5%,-17.7%,-25.6%,-1.4%,-5.9%,-19.3%,"141,303","32,012","10,488",18.06%,19.34%,20.63%,16.71%,15.92%,15.36%,5.47%,4.3%,2.41%,5.4%,4.05%,1.94%
21,-6.9%,-12.8%,-26.7%,-3.6%,-14.4%,-20.1%,"136,306","30,625","10,004",13.09%,15.44%,20.47%,12.19%,13.47%,15.0%,4.09%,2.7%,3.05%,3.94%,2.32%,2.44%
22,-9.4%,-16.7%,-31.9%,-2.6%,-6.1%,-6.8%,"136,174","33,568","11,380",17.81%,24.96%,23.77%,16.13%,20.79%,16.19%,4.47%,4.52%,6.21%,4.36%,4.25%,5.79%
23,-4.4%,-6.1%,-29.7%,0.0%,0.0%,0.0%,"133,548","27,862","6,988",8.28%,13.2%,9.53%,7.92%,12.4%,6.71%,2.06%,0.63%,0.54%,2.06%,0.63%,0.54%
24,-12.9%,-22.3%,-51.2%,0.0%,0.0%,0.0%,"130,034","28,421","7,178",15.42%,24.75%,20.26%,13.43%,19.23%,9.88%,2.82%,1.17%,0.5%,2.82%,1.17%,0.5%
25,-11.2%,-20.6%,-46.2%,0.0%,0.0%,0.0%,"126,098","26,868","6,876",14.22%,21.17%,17.79%,12.62%,16.8%,9.57%,2.84%,1.21%,0.45%,2.84%,1.21%,0.45%
26,-3.0%,-8.3%,-18.6%,0.0%,0.0%,0.0%,"127,742","24,824","6,997",12.88%,9.74%,10.27%,12.49%,8.93%,8.36%,4.05%,1.66%,0.92%,4.05%,1.66%,0.92%
27,-6.2%,-8.6%,-22.3%,-5.5%,-8.7%,-43.1%,"149,479","33,013","7,725",9.07%,11.99%,13.06%,8.51%,10.95%,10.14%,3.18%,4.84%,4.18%,3.01%,4.42%,2.38%
28,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"153,446","36,303","8,135",9.07%,11.21%,8.54%,9.07%,11.21%,8.54%,2.44%,1.52%,1.59%,2.44%,1.52%,1.59%
29,-4.2%,-5.4%,-19.2%,-7.5%,-9.8%,-45.5%,"145,299","33,493","7,307",8.5%,11.41%,9.66%,8.14%,10.79%,7.81%,4.45%,7.88%,7.81%,4.12%,7.1%,4.25%
30,0.0%,0.0%,0.0%,0.0%,0.0%,nan%,"133,757","28,419","8,782",8.22%,13.78%,7.69%,8.22%,13.78%,7.69%,1.59%,1.02%,0.0%,1.59%,1.02%,0.0%
31,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"145,271","32,620","9,982",7.46%,7.16%,3.72%,7.46%,7.16%,3.72%,2.72%,3.02%,2.14%,2.72%,3.02%,2.14%
32,-6.8%,-15.4%,-50.4%,0.0%,0.0%,0.0%,"156,225","34,893","9,382",5.89%,6.3%,5.28%,5.49%,5.33%,2.62%,1.93%,1.38%,1.1%,1.93%,1.38%,1.1%
33,-4.6%,-10.7%,-36.6%,0.0%,0.0%,0.0%,"145,629","33,012","8,479",4.85%,4.95%,4.16%,4.62%,4.42%,2.64%,1.4%,0.49%,0.19%,1.4%,0.49%,0.19%
34,-4.7%,-6.2%,-12.5%,-14.1%,-12.3%,-24.5%,"134,752","30,031","8,293",11.17%,13.73%,24.55%,10.65%,12.88%,21.49%,5.51%,8.56%,15.59%,4.73%,7.5%,11.77%
35,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"138,773","29,335","7,225",8.21%,5.42%,6.98%,8.21%,5.42%,6.98%,3.38%,2.51%,3.1%,3.38%,2.51%,3.1%
36,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"137,999","27,921","6,639",8.98%,7.04%,4.82%,8.98%,7.04%,4.82%,2.69%,1.83%,0.36%,2.69%,1.83%,0.36%
37,-0.4%,-1.3%,-7.6%,-3.9%,-13.0%,-40.8%,"131,848","26,621","6,303",9.89%,8.95%,6.5%,9.85%,8.84%,6.0%,3.8%,3.67%,2.22%,3.65%,3.19%,1.32%
38,-0.8%,-2.4%,-12.0%,-5.6%,-16.8%,-45.6%,"129,653","26,979","6,765",12.39%,12.26%,9.85%,12.28%,11.96%,8.67%,6.86%,7.23%,4.76%,6.48%,6.02%,2.59%
39,-2.6%,-4.9%,-10.7%,-8.2%,-31.2%,-39.6%,"125,783","28,605","8,019",9.63%,13.84%,10.89%,9.37%,13.17%,9.73%,2.98%,2.28%,5.98%,2.73%,1.57%,3.62%
40,-0.4%,-1.0%,-1.4%,-3.3%,-8.6%,-28.9%,"104,198","21,161","6,593",26.53%,34.72%,30.92%,26.42%,34.37%,30.48%,9.66%,11.02%,9.17%,9.34%,10.07%,6.52%
41,-0.3%,-0.9%,-1.3%,-5.4%,-14.5%,-47.7%,"112,002","23,321","7,424",25.03%,29.87%,25.54%,24.95%,29.61%,25.22%,9.22%,9.6%,8.56%,8.73%,8.21%,4.48%
42,-0.4%,-0.7%,-3.1%,-1.1%,-3.1%,-4.9%,"131,511","27,893","7,397",10.92%,11.1%,9.44%,10.87%,11.02%,9.15%,5.78%,5.2%,6.05%,5.71%,5.04%,5.75%
43,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"111,884","21,848","6,911",19.91%,23.37%,23.21%,19.91%,23.37%,23.21%,7.0%,6.7%,7.81%,7.0%,6.7%,7.81%
44,-5.0%,-13.0%,-32.6%,-2.9%,-10.3%,-32.9%,"117,785","26,236","7,311",15.56%,18.57%,21.86%,14.78%,16.16%,14.73%,5.47%,4.03%,2.6%,5.31%,3.61%,1.75%
45,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"117,772","24,270","7,359",21.45%,27.14%,18.86%,21.45%,27.14%,18.86%,7.89%,7.87%,3.6%,7.89%,7.87%,3.6%
46,-0.5%,-1.2%,-1.9%,-0.7%,-2.0%,-5.4%,"115,319","23,573","6,815",31.27%,47.18%,38.99%,31.1%,46.62%,38.24%,11.42%,14.79%,7.22%,11.34%,14.5%,6.83%
47,-8.7%,-15.6%,-27.7%,-4.7%,-10.3%,-13.4%,"131,028","35,276","12,632",21.43%,26.86%,23.8%,19.56%,22.66%,17.2%,5.76%,5.72%,6.35%,5.5%,5.13%,5.5%
